,id,xcenter,ycenter,Bflux,Bfluxerr,Vflux,Vfluxerr,Rflux,Rfluxerr,Bflux_1sec,Vflux_1sec,Rflux_1sec,Bflux_1sec_err,Vflux_1sec_err,Rflux_1sec_err,Binst,Vinst,Rinst,Binst_err,Vinst_err,Rinst_err,Bmag,Bmag_err,Vmag,Vmag_err,Rmag,Rmag_err,B-V,B-V_err,V-R,V-R_err
473,474,351.65344803692574,3353.18465014766,776.5227092602772,89.29629026993462,1738.889482558253,96.28060167848554,3926.536061626259,108.54214934657035,77.65227092602773,173.88894825582528,392.6536061626259,8.929629026993462,9.628060167848554,10.854214934657035,-4.7253854027764195,-5.600679951786061,-6.4850239760061745,0.12476966067763041,0.06007538366812639,0.029992907283335275,15.498647755579752,0.1248921576799668,13.788143460260303,0.06033009582984012,14.254596705406428,0.03029551258389571,1.7105042953194491,0.13870029384538224,-0.4664532451461252,0.06750954410717551
474,475,411.7642205983558,3355.1632737846926,1828.8765416343513,96.60838684255536,3227.3427453680115,102.6215954978521,4492.2058203589095,111.82773222040659,182.88765416343512,322.73427453680114,449.22058203589097,9.660838684255536,10.26215954978521,11.182773222040659,-5.655460973509763,-6.272112725345559,-6.631149115522072,0.05731392870866039,0.03450034282072294,0.027009690631104498,14.568572184846408,0.057580111569604145,13.116710686700806,0.034941986130048674,14.108471565890532,0.027345328365229245,1.4518614981456022,0.06735288889929351,-0.9917608791897266,0.04437014061409683
475,476,941.0282197529785,3355.5149089071956,5843.374258127162,112.42090395608392,8424.95563458247,121.87114672518885,9938.815266839287,130.38023543735986,584.3374258127162,842.4955634582469,993.8815266839287,11.242090395608392,12.187114672518884,13.038023543735985,-6.916659257549661,-7.313919056438039,-7.493336546068921,0.020874357075914104,0.015695061188697058,0.014233341867367553,13.30737390080651,0.021594480954156343,12.074904355608325,0.016643427702310903,13.246284135343682,0.014860404305657202,1.2324695451981853,0.027263992615929735,-1.1713797797353571,0.02231222314807839
476,477,536.1332353137469,3359.30733257546,11348.530743381616,128.6752274509778,17054.841696361706,144.1970645775064,21167.829527500344,156.0359942249551,1134.8530743381616,1705.4841696361705,2116.7829527500344,12.867522745097778,14.41970645775064,15.60359942249551,-7.637349096257704,-8.079619231563811,-8.314190823301399,0.012302264049972459,0.009173571813332669,0.007997941098029447,12.586684062098467,0.01348808826713039,11.309204180482553,0.010715556904775264,12.425429858111205,0.009067009276590906,1.277479881615914,0.017226482080836394,-1.1162256776286519,0.01403687347671348
477,478,3396.2499667642433,3362.344144229473,43557.4475308588,211.5448896909941,87466.99809559878,271.00519737087774,117311.10673332043,313.97336406296915,4355.74475308588,8746.69980955988,11731.110673332043,21.15448896909941,27.100519737087772,31.397336406296915,-9.097656055364165,-9.854610554026697,-10.173347830046765,0.005269505407820741,0.0033617323739180438,0.002903911739429204,11.126377102992006,0.00763875065633823,9.534212858019666,0.006478424539882661,10.566272851365838,0.00516491033848912,1.5921642449723397,0.0100160119862479,-1.0320599933461718,0.008285305264357232
478,479,1124.8509027029804,3362.8798859472604,1140.9124580615253,96.13317052904407,1907.5522910544464,100.10553809679357,2671.8891134860537,105.65857353651008,114.09124580615253,190.75522910544464,267.18891134860536,9.613317052904407,10.010553809679356,10.565857353651008,-5.143130805963655,-5.70119112987677,-6.067046076125157,0.09142199235972236,0.05693920389201056,0.042905804626578045,15.080902352392517,0.0915891014879379,13.687632282169593,0.05720788127365893,14.672574605287446,0.04311788104798661,1.3932700702229237,0.10798752331259777,-0.9849423231178527,0.07163723435399624
479,480,3326.942614347325,3364.883282101569,668.5619382809527,90.64865616562986,1498.8717448025386,97.12302701991845,1800.9068760418277,102.60993798559191,66.85619382809527,149.88717448025386,180.09068760418276,9.064865616562987,9.712302701991845,10.260993798559191,-4.562854120646319,-5.439411182008039,-5.638728140645727,0.14711246080296117,0.07030520435255393,0.061819844321468094,15.661179037709852,0.14721636779872488,13.949412230038325,0.07052297851778151,15.100892540766877,0.061967223169549786,1.711766807671527,0.16323648319805506,-1.1514803107285516,0.09387985538103615
480,481,1871.8723544727104,3367.6106427012573,5049.079437986434,109.20408216502715,8533.63912041331,120.60881604811237,11480.661807383503,132.9129570187719,504.9079437986434,853.3639120413311,1148.0661807383503,10.920408216502715,12.060881604811238,13.29129570187719,-6.758030508937055,-7.3278356825142845,-7.649917309660631,0.02346693701383052,0.015334673000076892,0.012561171192467498,13.466002649419117,0.024109748176987345,12.06098772953208,0.01630401594652043,13.089703371751973,0.013267502294731755,1.4050149198870372,0.029104997734790104,-1.0287156422198933,0.02102017014976579
481,482,1351.3364856510243,3368.771185091282,40711.63852165978,197.6938557182106,158723.05543922243,354.587988552822,474974.1692034274,597.5741444117531,4071.163852165978,15872.305543922243,47497.41692034274,19.76938557182106,35.458798855282204,59.75741444117531,-9.024296454462084,-10.501600037787952,-11.691674979444002,0.005268710404277623,0.002423894666815624,0.0013650593837010569,11.199736703894088,0.007638202253855222,8.887223374258411,0.006045163796037495,9.047945701968601,0.0044840810134594315,2.312513329635676,0.009740951647129835,-0.16072232771018946,0.007526685050949709
482,483,2895.222820988636,3375.6897240485846,24884.143140057477,166.987680531091,32751.318980398355,181.11294064442384,34403.05585352267,187.24642960963465,2488.4143140057477,3275.1318980398355,3440.3055853522665,16.6987680531091,18.111294064442383,18.724642960963465,-8.48980672713132,-8.788071987107596,-8.841492551296485,0.007281007521797081,0.005999988602499017,0.005905358436513743,11.734226431224851,0.009143079069937074,10.600751424938768,0.008165084396086996,11.898128130116119,0.0072881310140488756,1.1334750062860834,0.012258242046653538,-1.297376705177351,0.010944654260101798
